SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:1lO9CZo6eDrOy0S7khgryG,0.0048,0.7559999999999999,200947,5.349,0.747,1,0.00536,9,0.588,-5.407,1,80,2020-01-17,9,0.046,134.935,4,0.0687,1
spotify:track:6gi6y1xwmVszDWkUqab1qw,0.0104,0.802,157712,7.388,0.591,1,0.0,8,0.196,-4.895,1,87,2019-12-27,7,0.225,139.864,4,0.309,1
spotify:track:0LcspVKJxhEQQSvVMiTPWz,0.111,0.413,214160,26.252,0.428,0,0.0,0,0.114,-7.414,1,73,2019-04-05,10,0.0296,79.985,4,0.391,1
spotify:track:7Dxes6VnfbZYV0S2QTnVuT,0.036000000000000004,0.445,250413,28.581000000000003,0.4920000000000001,0,0.0,6,0.122,-5.7170000000000005,1,72,2019-09-20,11,0.0294,148.013,4,0.24,1
spotify:track:0AYbVoeF03NYhM0fvKjAuU,0.0793,0.519,172280,9.946000000000002,0.872,0,0.0,2,0.111,-3.212,1,71,2018-10-12,6,0.0616,179.965,4,0.74,1
spotify:track:1qwMkkRiD5jqLeUUjfgblh,0.0949,0.848,170227,3.642,0.745,1,0.0,6,0.0796,-3.052,0,80,2020-01-17,10,0.221,137.024,4,0.516,1
spotify:track:5M3v6frAiTyqenNAeQVcxC,0.0649,0.484,186988,8.658000000000001,0.903,0,0.0,8,0.151,-3.9,0,73,2019-10-24,8,0.0882,169.94799999999995,4,0.716,1
spotify:track:1kwnxJNVl7cwcU98RvMBaR,0.754,0.828,330507,15.057,0.182,0,0.0706,1,0.15,-13.066,0,77,2020-01-17,15,0.166,147.279,4,0.231,1
spotify:track:3Dv1eDb0MEgF93GpLXlucZ,0.256,0.787,237893,16.837000000000003,0.6729999999999999,1,3.57e-06,11,0.0904,-4.577,0,91,2019-11-07,9,0.158,110.962,4,0.7859999999999999,1
spotify:track:3QVHSV8YKYq4L8tI5rnFgj,0.018000000000000002,0.779,213413,8.054,0.805,1,0.0,1,0.321,-3.1210000000000004,1,79,2020-01-17,8,0.17800000000000002,145.68,4,0.557,1
spotify:track:7CZyCXKG6d5ALeq41sLzbw,0.0906,0.499,229573,28.351,0.8,0,0.0,1,0.147,-2.665,0,84,2019-09-06,11,0.0502,139.91899999999998,4,0.272,1
spotify:track:6UL2RC5J2vMau9KOMKQfJg,0.0135,0.433,197160,5.186,0.928,0,2.01e-06,4,0.32,-5.117,0,71,2019-11-22,8,0.0512,155.938,4,0.552,1
spotify:track:1s71G3V7XQaVo5IOR6gLbp,0.478,0.462,167796,11.249,0.512,0,0.0,9,0.0993,-5.443,1,73,2019-09-06,9,0.0334,114.014,4,0.29,1
spotify:track:6klLvorLoo1sxvZcjJIY8I,0.0208,0.8759999999999999,148630,13.129,0.733,1,0.0,10,0.0999,-4.478,0,82,2019-10-11,9,0.333,154.904,4,0.962,1
spotify:track:4CMrdHWqic0usIZfTrKoI3,0.195,0.799,186587,7.856999999999997,0.301,0,0.0,7,0.0816,-11.361,1,77,2019-05-31,10,0.185,100.026,4,0.511,1
spotify:track:0udOCZp7yk0Ml92C0k8H8D,0.591,0.583,217868,41.658,0.499,0,0.0104,10,0.33,-10.086,1,76,2020-01-17,7,0.0261,155.19899999999996,3,0.342,1
spotify:track:5z51HY4ei5QhTjcvwq5Msw,0.134,0.597,214035,22.245,0.733,1,0.0,1,0.159,-6.017,1,76,2019-10-11,9,0.41,171.016,4,0.639,1
spotify:track:6TqXcAFInzjp0bODyvrWEq,0.051,0.901,197573,30.044000000000004,0.4,0,0.0,0,0.0599,-8.575,1,80,2019-04-05,9,0.126,135.984,4,0.34600000000000003,1
spotify:track:0qkdE1C0ufnUISKwhg8Wh6,0.016,0.5760000000000001,206598,25.209,0.7240000000000001,0,0.0,0,0.107,-5.147,1,75,2019-11-15,8,0.0274,93.029,4,0.34,1
spotify:track:1dGr1c8CrMLDpV6mPbImSI,0.4920000000000001,0.359,221307,11.056,0.5429999999999999,0,1.58e-05,7,0.118,-7.582000000000002,1,83,2019-08-23,11,0.0919,68.53399999999999,4,0.453,1
spotify:track:2xyx0o4xNOLLjBSbOOdcbA,0.603,0.726,143227,9.714,0.408,1,0.0,11,0.225,-6.606,0,78,2019-10-04,8,0.0614,115.918,4,0.459,1
spotify:track:1GIYmwtBbPSHrqcSaukZck,0.0607,0.62,232733,18.937,0.613,1,0.0,0,0.117,-5.83,1,76,2019-06-28,8,0.0795,82.43,4,0.483,1
