SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:0uTssBGih7LTMXfAT92xGg,0.925,0.21899999999999997,71427,27.377,0.257,0,0.867,2,0.0807,-12.874,1,0,2000-06-03,4,0.0396,74.967,3,0.0383,0
spotify:track:4GJ9TQljgm63ElycOKcZpp,0.995,0.626,63840,3.962,0.0169,0,0.934,9,0.0753,-21.230999999999998,1,5,2008-01-01,3,0.0972,77.98100000000001,1,0.778,0
spotify:track:7h1ROeFzoE3U7EODfrubOk,1.3500000000000001e-05,0.5579999999999999,257673,37.222,0.992,0,0.8009999999999999,5,0.10300000000000001,-3.641,1,0,2012-12-08,9,0.0841,105.001,4,0.122,0
spotify:track:1KarghNWGuNPGVOVLrxLar,0.0686,0.436,172564,7.985000000000001,0.743,0,0.0,4,0.266,-5.792000000000001,0,2,2014-11-18,11,0.0517,136.994,4,0.484,0
spotify:track:1o9euGKpW7swgpATuYruWA,0.0745,0.89,296699,8.774000000000001,0.813,0,0.0,2,0.124,-4.458,1,32,2018-07-24,12,0.0749,99.97,4,0.8390000000000001,0
spotify:track:0haz3WucgCOxBq9BygWHYg,0.0393,0.588,147645,34.36,0.252,0,0.917,7,0.0601,-18.408,1,0,2015-09-01,7,0.0444,170.002,4,0.33299999999999996,0
spotify:track:2M3QX0mavrev5f09xNYKbD,0.968,0.221,89133,20.332,0.561,0,0.946,10,0.0684,-12.568,1,0,2018-02-23,4,0.0434,56.532,4,0.0359,0
spotify:track:2gRlcnpjxjQ5TbBKNTJMEE,0.45,0.4,119449,16.589000000000002,0.64,0,0.857,0,0.14300000000000002,-9.869,1,5,2019-11-20,6,0.0643,85.037,4,0.14400000000000002,0
spotify:track:4QNaFvyDoXmt8yyXFmMaFC,0.324,0.579,164600,52.016000000000005,0.615,0,0.7829999999999999,9,0.23800000000000002,-12.314,0,0,2015-02-02,7,0.0437,141.559,4,0.7609999999999999,0
spotify:track:1oM0adtszZXuPVEbZB1pHk,0.713,0.244,242707,31.857,0.33799999999999997,0,0.0184,10,0.213,-13.315,1,1,2008-11-11,11,0.0365,107.744,4,0.0407,0
spotify:track:3Eu4O0XnnL6Z4828QdrBem,0.579,0.7020000000000001,75442,6.547999999999999,0.384,0,0.9390000000000001,1,0.115,-16.819000000000003,0,31,2019-11-22,3,0.036000000000000004,100.02600000000001,3,0.373,0
